"run_fm";"run_fondo_mutuo";"nombre_fondo_mutuo";"nombre_corto";"vigencia";"estado";"tipo_fondo_mutuo";"rut_administradora";"razon_social_administradora";"fecha_deposito_fondo_mutuo";"fecha_ultima_modificacion";"fecha_inicio_operacion";"nro_fecha_resolucion_aprobatoria";"fecha_cumplimiento";"fecha_termino_operacion";"nro_registro"
"8076";"8076-4";FONDO MUTUO SANTANDER ACCIONES CHILENAS;ACCIONES CHILENAS;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";"96667040-1";SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2019-08-23;2021-08-30;1995-01-30;Res. 127 (30/01/1995);1995-01-30;;FM110383
"8142";"8142-6";FONDO MUTUO BICE ACCIONES CHILE SELECTIVO;BICE CHILE SELECTIVO;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";"96514410-2";BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-03-10;2022-09-07;1999-11-24;Res. 353 (24/11/1999);2000-05-18;;FM110354
"8204";"8204-K";FONDO MUTUO BTG PACTUAL ACCIONES CHILENAS;BTG ACCIONES CHILENA;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";"96966250-7";BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-07-03;2023-07-25;2002-01-04;Res. 252 (04/01/2002);2002-01-22;;FM110091
"8289";"8289-9";FONDO MUTUO SCOTIA ACCIONES CHILE;ACCIONES CHILE;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";"96634320-6";SCOTIA ADMINISTRADORA GENERAL DE FONDOS CHILE S.A.;2018-12-10;2021-06-18;2004-06-01;Res. 496 (01/06/2004);2004-07-07;;FM110114
"8305";"8305-4";FONDO MUTUO ITAU NATIONAL EQUITY;NATIONAL EQUITY;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";"96980650-9";ITAU ADMINISTRADORA GENERAL DE FONDOS S.A.;2020-07-30;2023-03-18;2004-09-27;Res. 290 (27/09/2004);2004-11-03;;FM110243
"8372";"8372-0";FONDO MUTUO SANTANDER ACCIONES SELECTAS CHILE;SELECTAS CHILE;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";"96667040-1";SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-03-24;2022-06-06;2005-05-25;Res. 346 (25/05/2005);2005-07-16;;FM110385
"8381";"8381-K";FONDO MUTUO ZURICH CHILE ACCIONES;CHILE ACCIONES;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";"77750920-9";ZURICH CHILE ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-10-06;2023-03-10;2005-09-05;Res. 488 (05/09/2005);2005-09-05;;FM110055
"8430";"8430-1";FONDO MUTUO BCI ACCIONES CHILENAS;fm Bci Acc. Ch;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";"96530900-4";BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2018-11-19;2019-11-06;2006-05-24;Res. 184 (24/05/2006);2006-05-29;;FM110455
"8490";"8490-5";FONDO MUTUO SECURITY SELECTIVO;SELECTIVO;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";"96639280-0";ADMINISTRADORA GENERAL DE FONDOS SECURITY S.A.;2020-04-07;2021-06-30;2006-12-28;Res. 604 (28/12/2006);2006-12-28;;FM110546
"8536";"8536-7";FONDO MUTUO BANCOESTADO ACCIONES NACIONALES;ACCIONES NACIONALES;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";"96836390-5";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2019-06-14;2021-04-22;2007-12-19;Res. 510 (19/12/2007);2008-02-22;;FM110306
"8685";"8685-1";FONDO MUTUO SURA SELECCION ACCIONES CHILE;SELECCION ACCION;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";"76036521-1";ADMINISTRADORA GENERAL DE FONDOS SURA S.A.;2021-12-22;2023-10-17;2009-01-27;Res. 700 (27/01/2009);2009-04-27;;FM110513
"8723";"8723-8";FONDO MUTUO LARRAINVIAL ENFOQUE;ENFOQUE;Vigente;;"6-FM DE LIBRE INVERSION";"96955500-K";LARRAINVIAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-07-17;2023-08-11;2009-06-10;Res. 258 (10/06/2009);2009-06-10;;FM110020
"8819";"8819-6";FONDO MUTUO BICE ACCIONES CHILE ACTIVO;BICE CHILE ACTIVO;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";"96514410-2";BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-06-16;2022-09-07;2010-11-15;Res. 611 (15/11/2010);2010-11-18;;FM110341
