"fecha";"Run Fondo";"periodo";"rent";"serie"
2023-01-31;"8305";"1M";0.00;APV
2023-01-31;"8305";"3M";0.01;APV
2023-01-31;"8305";"6M";-0.01;APV
2023-01-31;"8305";"1Y";0.08;APV
2023-01-31;"8305";YTD;0.00;APV
2023-02-01;"8305";"1M";0.00;APV
2023-02-01;"8305";"3M";0.00;APV
2023-02-01;"8305";"6M";-0.01;APV
2023-02-01;"8305";"1Y";0.06;APV
2023-02-01;"8305";YTD;0.00;APV
2023-02-02;"8305";"1M";0.00;APV
2023-02-02;"8305";"3M";0.01;APV
2023-02-02;"8305";"6M";-0.01;APV
2023-02-02;"8305";"1Y";0.08;APV
2023-02-02;"8305";YTD;0.00;APV
2023-02-03;"8305";"1M";0.03;APV
2023-02-03;"8305";"3M";0.01;APV
2023-02-03;"8305";"6M";0.00;APV
2023-02-03;"8305";"1Y";0.10;APV
2023-02-03;"8305";YTD;0.00;APV
2023-02-04;"8305";"1M";0.04;APV
2023-02-04;"8305";"3M";0.00;APV
2023-02-04;"8305";"6M";0.01;APV
2023-02-04;"8305";"1Y";0.11;APV
2023-02-04;"8305";YTD;0.00;APV
2023-02-05;"8305";"1M";0.03;APV
2023-02-05;"8305";"3M";0.00;APV
2023-02-05;"8305";"6M";0.00;APV
2023-02-05;"8305";"1Y";0.11;APV
2023-02-05;"8305";YTD;0.00;APV
2023-02-06;"8305";"1M";0.03;APV
2023-02-06;"8305";"3M";0.00;APV
2023-02-06;"8305";"6M";0.00;APV
2023-02-06;"8305";"1Y";0.10;APV
2023-02-06;"8305";YTD;0.00;APV
2023-02-07;"8305";"1M";0.02;APV
2023-02-07;"8305";"3M";-0.02;APV
2023-02-07;"8305";"6M";-0.01;APV
2023-02-07;"8305";"1Y";0.09;APV
2023-02-07;"8305";YTD;-0.01;APV
2023-02-08;"8305";"1M";0.03;APV
2023-02-08;"8305";"3M";-0.03;APV
2023-02-08;"8305";"6M";-0.01;APV
2023-02-08;"8305";"1Y";0.07;APV
2023-02-08;"8305";YTD;0.00;APV
2023-02-09;"8305";"1M";0.03;APV
2023-02-09;"8305";"3M";-0.02;APV
2023-02-09;"8305";"6M";0.00;APV
2023-02-09;"8305";"1Y";0.07;APV
2023-02-09;"8305";YTD;0.01;APV
2023-02-10;"8305";"1M";0.04;APV
2023-02-10;"8305";"3M";-0.01;APV
2023-02-10;"8305";"6M";0.00;APV
2023-02-10;"8305";"1Y";0.07;APV
2023-02-10;"8305";YTD;0.01;APV
2023-02-11;"8305";"1M";0.03;APV
2023-02-11;"8305";"3M";-0.02;APV
2023-02-11;"8305";"6M";-0.01;APV
2023-02-11;"8305";"1Y";0.07;APV
2023-02-11;"8305";YTD;0.01;APV
2023-02-12;"8305";"1M";0.03;APV
2023-02-12;"8305";"3M";-0.02;APV
2023-02-12;"8305";"6M";-0.03;APV
2023-02-12;"8305";"1Y";0.07;APV
2023-02-12;"8305";YTD;0.01;APV
2023-02-13;"8305";"1M";0.03;APV
2023-02-13;"8305";"3M";-0.02;APV
2023-02-13;"8305";"6M";-0.03;APV
2023-02-13;"8305";"1Y";0.06;APV
2023-02-13;"8305";YTD;0.01;APV
