"Run Fondo";"Serie";"Caracteristica";"Fecha Inicio";"Fecha Termino";"Valor Inicial Cuota";"Continuadora Serie"
"8076";UNICA;;1995-01-30;2006-01-21;1000;
"8076";AM;;2018-09-11;;1000;
"8076";APV;APV;2006-01-22;;2892.5958;UNICA
"8076";EJECU;;2006-01-22;;2892.5958;UNICA
"8076";G;;2016-11-28;;1000;
"8076";I;;2015-08-26;;1000;
"8076";II;;;;1000;
"8076";III;;2017-01-18;;1000;
"8076";INVER;;2006-01-22;;1000;
"8076";UNIVE;;2006-01-22;;1000;
"8142";UNICA;;1999-11-24;2002-07-31;1000;
"8142";A;;2002-08-01;2008-01-07;1000;UNICA
"8142";A;;2008-01-08;2017-11-09;922.8553;
"8142";B;APV;2002-08-01;2017-11-09;841.2926;
"8142";C;;2008-01-08;2017-11-09;1000;
"8142";F;;2008-01-08;2017-11-09;1000;
"8142";I;;2008-01-08;2017-11-09;2477.668;A
"8142";APV;APV;2017-11-10;;1000;B
"8142";CLASICA;;2017-11-10;;1000;A
"8142";D;APV;2009-12-29;;1000;
"8142";E;APVC;;;1000;
"8142";G;APV;2012-09-20;;1000;
"8142";INSTITUCIO;;2017-11-10;;1000;I
"8142";K;;2016-11-23;;1000;
"8142";LARGOPLAZO;;2017-11-10;;1000;F
"8142";LIQUIDEZ;;2017-11-10;;1000;C
"8142";PATRIMONIA;;2022-02-10;;1000;
"8142";X;;;;1000;
"8204";UNICA;;2002-01-04;2002-08-13;1000;
"8204";A;;2002-08-14;2007-06-30;944.2776;UNICA
"8204";B;;2002-08-14;2007-06-30;1000;
"8204";C;;2002-08-14;2007-06-30;1000;
"8204";I;;2002-08-14;2007-06-30;1000;
"8204";C-APV;APV;2007-07-01;2008-04-25;3049.8214;C
"8204";A-APV;APV;2007-07-01;2011-01-09;3279.4343;A
"8204";ESG;;2023-06-23;2023-07-14;1000;
"8204";ESG-APV;APV;2023-06-23;2023-07-14;1000;
"8204";A;;2007-07-01;;3279.4343;A
"8204";B;;2007-07-01;;NaN;B
"8204";B-APV;APV;2007-07-01;;NaN;B
"8204";C;;2007-07-01;;3049.8214;C
"8204";D;;2015-03-13;;1000;
"8204";D-APV;APV;2015-03-13;;1000;
"8204";F;;2015-09-28;;1000;
"8204";F-APV;APV;2015-09-28;;1000;
"8204";G;;2023-04-12;;1000;
"8204";I;;2007-07-01;;NaN;I
"8204";I-APV;APV;2007-07-01;;NaN;I
"8204";S;;2023-07-15;;1062.8776;ESG
"8204";S-APV;APV;2023-07-15;;1063.03;ESG-APV
"8289";UNICA;;2004-06-01;2004-10-19;1000;
"8289";B;;2004-10-20;2007-09-20;1000;
"8289";A;;2004-10-20;2012-06-25;1175.4065;UNICA
"8289";E;;2007-09-21;2021-07-17;1767.5296;B
"8289";GLOBA;;2007-09-21;2021-07-17;1000;
"8289";INVER;;2007-09-21;2021-07-17;1000;
"8289";PATRI;;2007-09-21;2021-07-17;1000;
"8289";PERSO;;2012-06-26;2021-07-17;1175.4065;A
"8289";AHORROSIST;;2021-07-18;;1000;
"8289";ALTOPATRIM;;2022-10-14;;1000;
"8289";APV;APV;2007-09-21;;1000;
"8289";CLASICA;;2021-07-18;;889.4465;PERSO
"8289";CONVENIO;;2021-07-18;;1000;
"8289";FAMILIACLA;;2021-07-18;;569.1879;INVER
"8289";SBK;;;;1000;
"8289";WEALTH;;2021-11-22;;1000;
"8289";WEB;;2021-07-18;;1000;
"8305";A;;2004-09-27;2017-01-14;1000;
"8305";B;APV;2004-06-22;2017-01-14;1000;
"8305";F;;2007-09-09;2017-01-14;1000;
"8305";I;;2012-12-13;2017-01-14;1000;
"8305";M;;2012-12-13;2017-01-14;1000;
"8305";U;;;2017-01-14;1000;
"8305";FE;;;2018-09-09;1000;
"8305";F1;;2017-01-15;2023-04-16;1009.1637;A
"8305";F2;;2017-01-15;2023-04-16;819.9295;M
"8305";F3;;2017-01-15;2023-04-16;732.4858;F
"8305";APV;APV;2017-01-15;;939.4164;B
"8305";F4;;2017-01-15;;790.9301;I
"8305";F5;;2018-10-08;;1000;U
"8305";IT;;2015-03-31;;1000;
"8305";S;;2015-05-28;;1000;
"8305";SIMPLE;;2023-04-17;;673.5208;F2
"8372";PERMA;;2005-05-25;2014-11-11;1000;
"8372";AM;;2022-05-05;;1000;
"8372";APV;APV;2005-05-25;;1000;
"8372";GLOBA;;2015-01-21;;1000;
"8372";III;;2016-12-05;;1000;
"8372";INSTI;;;;1000;
"8372";PATRI;;2014-11-12;;1640.5488;PERMA
"8372";SI;;2022-08-31;;1000;
"8381";B;APV;2005-09-05;2017-09-07;1000;
"8381";S;;2005-09-05;2017-09-07;1000;
"8381";X;;2008-03-18;2017-09-07;1000;
"8381";EA-AM;;2017-09-12;2019-10-23;1000;NO
"8381";A;;2005-09-05;;1000;
"8381";ADC;;;;1000;
"8381";B-APV/APVC;APV-APVC;2017-09-08;;1000;B
"8381";COL -Z;;2023-03-24;;1000;
"8381";COL-Z APV/APVC;APV-APVC;2023-03-24;;1000;
"8381";CUI;;2018-10-27;;1000;NO
"8381";CUI PREFER;;;;1000;
"8381";D;;2008-03-18;;1000;
"8381";E;;2019-01-08;;1000;NO
"8381";EXT;;;;NaN;
"8381";H-APV/APVC;APV-APVC;;;1000;NO
"8381";I-APV/APVC;APV-APVC;;;1000;NO
"8381";N;;2020-08-14;;1000000;
"8381";P;;;;1000;
"8381";PRE-APV;APV;;;1000;
"8381";R;;2022-11-17;;1000;
"8381";W;;2022-01-05;;1000;
"8381";W-APV;APV;2022-01-05;;1000;
"8381";Z;;2019-10-24;;1000;EA-AM
"8430";ALFA;;2006-05-24;2012-01-09;1000;
"8430";BETA;APV;2006-05-24;2012-01-09;1000;
"8430";A;;2019-12-04;;1500;
"8430";ALPAT;;2012-01-10;;1000;
"8430";APV;APV;2012-01-10;;2149.4183;BETA
"8430";BCI;;2016-07-19;;1000;
"8430";BPRIV;;2012-01-10;;1000;
"8430";CLASI;;2012-01-10;;1705.0069;ALFA
"8430";FAMIL;;2012-01-10;;1000;
"8430";GAMMA;;2018-12-19;;599342;GAMMA
"8490";B;;2006-12-28;2015-01-21;1000;
"8490";APVC;APV;2009-02-19;2015-10-02;1000;
"8490";E;;2015-01-22;2015-10-02;1000;B
"8490";I;;2006-12-28;2015-10-02;1000;
"8490";M;;2007-12-06;2015-10-02;1000;
"8490";P;APV;2006-12-28;2016-07-01;1000;
"8490";A;;2006-12-28;;1000;
"8490";APV1;APV;2015-10-03;;1000;
"8490";F;;2006-12-28;;1000;
"8490";G;;2015-09-14;;1000;
"8490";H;;2015-10-03;;1000;A-I
"8490";I-APV;APV;2016-07-02;;1000;P-B
"8490";J;;2017-10-17;;1000;
"8490";S;;2018-09-10;;1000;
"8490";V;;2015-10-03;;1000;M
"8536";A;;2007-12-19;2012-08-05;1000;
"8536";APV;APV;2007-12-19;;1000;
"8536";BE;;2019-07-03;;1000;
"8536";CLASI;;2012-08-06;;1000;A
"8536";CRECI;;2012-08-06;;1000;
"8536";I;;2012-08-06;;1000;
"8536";PATRI;;2012-08-06;;1000;
"8536";VIVIENDA;;2016-01-29;;1000;
"8685";G;;2009-10-19;2017-08-02;1000;
"8685";A;;2009-01-27;;1000;
"8685";AC;;2015-10-08;;1000;
"8685";AC-APV;APV-APVC;2015-10-08;;1000;
"8685";B;;2009-01-27;;1000;
"8685";C;APV;2009-01-27;;1000;
"8685";D;APV;2009-01-27;;1000;
"8685";E;;2009-01-27;;1000;
"8685";F;;2009-01-27;;1000;
"8685";H;APV-APVC;2012-12-29;;1000;
"8685";I;;2015-10-21;;1000;
"8685";M;;2016-08-18;;1000;
"8685";SURA;;2021-04-13;;1000;
"8723";B;APV;2009-06-10;2011-05-08;2049.3209;
"8723";APV-A;APV;2011-05-09;2013-04-26;1000;
"8723";AC;;2014-03-22;2014-11-24;1000;
"8723";EX;;;2016-03-26;1000;
"8723";G-APV;APV-APVC;2013-04-27;2016-03-26;1000;
"8723";O;;2014-03-22;2021-05-07;1000;
"8723";RV;;2021-03-23;2021-07-11;1000;
"8723";A;;2009-06-10;;2049.3209;
